名字,开放时间,评分,建议游玩时间,门票,来源城市
"雪岭云杉自然保护区",9:00-17:00,5,2,30,伊犁
"雪浪山生态园Xuelang Mountain Ecological Park",8:00-16:30,4.3,12,50,无锡
"雪窦山Xuedou Mountain",09:30-16:10,4.6,12,150,宁波
"雷山风景区Leishan Scenic Area",08:00-17:00,4.4,1,25,黄石
"雷琼海口火山群世界地质公园Leiqiong UNESCO Global Geopark",8:00-18:00,4.6,2.5,45,海口
"青云山Qingyun Mountain",8:00-16:30,4.5,72,32,福州
"青原山Qingyuan Mountain",9:00-17:00,4.5,3.5,15,吉安
"青山湖Qingshan Lake",7:30-17:00,4.3,2.5,140,杭州
"青山瀑布Qing Mountain Waterfall",8:00-16:00,4.7,2,45,来宾
"青岛雨林谷",8:00-17:00,1,2,30,青岛
"青岩古镇Qingyan Ancient Town",08:30-17:00,4.4,2.5,60,贵阳
"青秀山Qingxiu Mountain",06:00-23:59,4.7,12,18,南宁
"青要山Qingyao Mountain",6:00-20:00,4.3,3.5,32,洛阳
"青铜峡黄河大峡谷Qingtongxia Yellow River Canyon",08:00-18:30,4.1,12,40,吴忠
"青龙峡(太行山大峡谷)Qinglong Gorge ( Taihang Mountain Grand Canyon)",8:00-16:00,4.4,12,45,长治
"鞍山动物园Anshan Zoo",8:00-20:30,4.2,2.5,69,鞍山
"韭山洞Jiushan Cave",8:00-17:00,4.3,3,45,滁州
"顺峰山公园Shunfeng Mountain Park",06:00-22:30,4.6,2.5,7,佛山
"飞云大峡谷The Grand Feiyun Canyon",8:00-18:00,4.4,12,200,黔东南
"飞天山风景区",8:00-18:00,4.5,4,40,郴州
"飞水谷Feisui Valley",08:00-17:30,4.3,2.5,7,湘西
"飞狐峪·空中草原Feihu Valley · Grassland in the Sky",7:00-19:00,4.3,4,80,张家口
"首山欢乐谷Shoushan Happy Valley",9:00-20:00,5,3,25,许昌
"香山公园Fragrant Hills Park",6:00-18:30,4.7,3,5,北京
"香炉山国家森林公园Mount Xianglu",08:00-17:00,4.5,4.5,40,哈尔滨
"马仁奇峰风景区Maren Qifeng Scenic Area",08:00-17:00,4.4,12,70,芜湖
"马岭河峡谷Malinghe Canyon",7:30-18:30,4.5,2.5,149,黔西南
"马鞍山Ma'anshan",8:00-17:30,4.3,2.5,53,淄博
"马鞍山马钢盆山Ma'anshan Magangpen Mountain",8:00-17:00,5,72,5,马鞍山
"驷马水乡大峡谷Arrow Horse Water Town Grand Canyon",09:00-18:00,4.9,12,28,巴中
"驼山Camel Mountain",7:00-17:00,4.4,1.5,80,潍坊
"驼峰岭天池Tuofengling Tianchi",7:00-18:00,4.6,1.5,3,兴安盟
"高椅岭旅游区Gaoyiling Scenic Area",08:15-16:00,4.3,1.5,77.9,郴州
"鬼谷岭景区Guigu Ridge Scenic Area",8:00-17:00,3.9,4.5,72,安康
"鱼峰公园Yufeng Park",8:00-16:00,4.5,1,45,柳州
"鱼谷洞泉自然风景区Yugudong Natural Scenic Area",8:00-17:00,4.2,2,65,保定
"鲁山国家森林公园Lushan National Forest Park",8:00-17:00,4.6,4,9,淄博
"鲁普岩寺Lu Puyansi",09:00-17:00,4.4,0.5,1,拉萨
"鳄鱼山",8:00-18:00,4.6,2.5,98,北海
"鳄鱼山景区Crocodile mountain Scenic Area",8:00-18:00,4.5,3.5,599,北海
"鸡峰山Jifeng Mountain",8:00-18:00,4.1,12,35,宝鸡
"鸡足山Jizu Mountain",08:00-18:00,4.7,3.5,50,大理
"鸡鸣山公园",5:00-22:00,4.9,1.5,0,金华
"鸡鸣山旅游风景区Jiming Mountain",7:00-18:00,4.5,3,50,张家口
"鹅岭公园Eling Park",6:00-22:00,4.6,2.5,7,重庆
"鹤伴山Heban Mountain",7:00-18:00,4.5,3.5,30,滨州
"鹤山风景区Heshan Scenic Area",8:00-18:00,4.7,12,15,青岛
"鹰窝寨Eagle Nest Village",8:30-17:30,4.3,1.5,96,张家界
"鹿门山旅游景区Lumen Temple National Forest Park",7:00-19:00,3.9,1.5,45,襄阳
"鹿鸣湖山庄",8:30-18:00,3,3,10,中山
"麓山寺Lushan Temple",8:00-18:00,4.5,1,5,长沙
"黄山尖Huangshanjian",8:00-12:00,4.5,1.5,55,杭州
"黄杨山Huangyang Mountain",8:30-17:30,4.6,3.5,1,珠海
"黄河大峡谷?老牛湾旅游区The Yellow River Grand Canyon Lao Niu Wan Tourist Area",8:00-19:00,4.4,1.5,35,呼和浩特
"黄石国家矿山公园Huangshi (Yellow Stone) National Mining Park",08:30-17:30,4.2,2.5,33,黄石
"黄石寨Huangshi Village",7:00-18:00,4.6,1.5,670,张家界
"黄龙山庄旅游区Huanglong Villa Tourist Area",08:00-16:00,4.6,72,9,张家口
"黄龙岩畲族风情旅游区She Nationality Scenic Area in Huanglongyan",9:00-17:30,4.2,4,45,河源
"黑油山Heiyou Mountain",10:00-19:30,4.1,0.35,39,克拉玛依
"黔灵山公园Qianling Mountain Park",07:00-18:00,4.6,3.5,9,贵阳
"黛眉山景区Daimei Mountain Scenic Area",8:00-15:00,4.1,4.5,1,洛阳
"鼎湖山Dinghu Mountain",5:30-18:30,4.5,4,70,肇庆
"齐云山景区Mount Qiyun",08:00-17:00,4.6,108,178,黄山
"龙卧岩Longwoyan Village",8:30-18:00,5,2,19.9,新乡
"龙口南山旅游景区Nanshan Tourist Area",7:30-17:00,4.6,3.5,55,烟台
"龙岩东肖森林公园Longyan Dongxiao Forest Park",7:00-21:00,4.5,12,24,龙岩
"龙峪湾Longyu Bay",07:00-19:00,4.1,12,50,洛阳
"龙峰山Liaoyang Longfengshan Scenic Area",8:00-17:00,4.5,3.5,18,辽阳
"龙归寨瀑布Longguizhai Waterfall",7:30-19:00,4.2,2.5,48,梅州
"龙池山Longchi Mountain",8:00-16:30,4.5,72,28,无锡
"龙池山自行车公园Longchishan Bicycle Park",8:00-17:00,4.5,1.5,28,无锡
"龙泉山旅游区Songcheng Longquan Mountain Tourist Area",08:30-17:30,4.4,108,220,丽水
"龙潭大峡谷Longtan Grand Canyon",07:00-17:30,4.6,12,75,洛阳
"龙王山",7:30-18:00,4.3,24,70,湖州
"龙珠二龙山滑雪场Longzhu Erlongshan Ski Resort",8:00-17:00,4.5,12,10,哈尔滨
"龙背山森林公园Longbeishan Forest Park",8:00-19:00,4.7,3,5,无锡
"龙虎山仙宠乐园Longhushan Xianchong Amusement Park",8:30-17:30,4.1,2.5,50,鹰潭
"龟山汉墓Guishan Han Dynasty Tombs",8:30-17:00,4.6,1.5,72,徐州
"龟峰山Turtle Peak Mountain",00:00-23:59,4,72,109,黄冈
"龟峰风景名胜区Guifeng Scenic Area",06:30-16:00,4.6,4,149.5,上饶
"龟背岩Tortoise Back Rock",8:00-17:00,4.2,1,180,兴安盟
