名字,开放时间,评分,建议游玩时间,门票,来源城市
"大石湖风景区Dashi Lake Scenic Area",07:30-18:00,4.7,3.5,20,本溪
"汤沟森林公园Tanggou Forest Park",8:00-18:00,4.6,12,2019,本溪
"本溪老边沟风景区Benxi Laobiangou Scenic Spot",07:30-18:00,4.6,4.5,78,本溪
"枫林谷森林公园Fenglingu Forest Park",8:00-17:00,4.6,12,80,本溪
"望溪公园Wangxi Park (Southeast Gate)",7:30-21:00,4.8,1,0,本溪
"野山参博物馆",08:00-18:00,5,2.5,30,本溪
"建州女真历史陈列馆",08:00-16:00,5,1.5,25,本溪
"本溪满族自治县杨靖宇纪念馆Benxi Manzu Zizhixian Yangjingyu Memorial Hall",9:00-17:00,5,1.5,0,本溪
"本溪大峡谷Benxi Canyon",08:00-17:00,4.1,12,25,本溪
"圣堂山Shengtang Mountain",8:00-16:00,4.4,6,59,来宾
"金秀圣堂湖景区Jinxiu Shengtang Lake Ecotourism Scenic Area",9:00-17:00,3.8,3.5,168,来宾
"百崖大峡谷Baiya Grand Canyon",8:00-19:00,4.4,3.5,30,来宾
"巴勒瑶族高山玻璃栈道Bale Yao Nationality Mountain Glass Path",8:00-17:00,3.7,1.5,77.5,来宾
"岭祖大峡谷Lingzu Grand Canyon",8:30-17:00,5,12,38.7,来宾
"金秀银杉森林公园Jinxiu Yinshan Forest Park",8:30-16:00,4.4,12,44,来宾
"青山瀑布Qing Mountain Waterfall",8:00-16:00,4.7,2,45,来宾
"灵隐寺Lingyin Temple",07:00-18:15,4.7,1.5,40,杭州
"杭州野生动物世界Hangzhou Safari Park",09:30-16:30,4.6,12,210,杭州
"三潭印月Three Pools Mirroring the Moon",8:00-17:00,4.6,1.5,35,杭州
"富春江Fuchun River",8:00-17:00,5,2,1,杭州
"梅峰揽胜",9:15-10:45,4.6,2.5,55,杭州
"龙门古镇Longmen Ancient Town",8:00-17:00,4.2,3,35,杭州
"青山湖Qingshan Lake",7:30-17:00,4.3,2.5,140,杭州
"禅源寺Chanyuan Temple",8:00-16:00,4.4,1.5,100,杭州
"黄公望隐居地Huang Gongwang's Reclusive Place",9:00-17:30,4.3,3,45,杭州
"桐庐天子地风景区Tianzidi",08:00-16:00,4.4,3,100,杭州
"郭庄Guo's Villa",8:00-17:00,4.6,1.75,10,杭州
"大奇山国家森林公园Daqishan National Forest Park",08:30-16:30,4.5,3,45,杭州
"上天竺法喜讲寺Shangtianzhu Temple",4:30-18:30,4.7,0.75,10,杭州
"虎跑公园Hupao Park",7:00-17:30,4.7,1.5,15,杭州
"良渚古城遗址公园Liangzhugucheng Ruins Park",9:00-17:00,4.4,3.5,20,杭州
"胡雪岩故居Hu Xueyan's Former Residence",08:00-17:00,4.7,1.5,20,杭州
"杭州植物园Hangzhou Botanical Garden",07:00-17:00,4.6,2.5,10,杭州
"西湖音乐喷泉West Lake Music Fountain",19:00-19:15,4.5,1,48,杭州
"桂花岛（猴岛）Osmanthus Island",08:00-17:30,4.5,1,50,杭州
"梅峰岛Meifeng Island",8:00-13:00,4.3,1.25,55,杭州
"黄山尖Huangshanjian",8:00-12:00,4.5,1.5,55,杭州
"浙西大峡谷West Zhejiang Grand Canyon",7:30-17:00,4.5,72,75,杭州
"超山风景区Chao Mountain Scenic Area",08:00-17:00,4.4,72,29.9,杭州
"新叶古村Xinye Ancient Village",8:00-16:30,4.1,2.5,54,杭州
"千岛湖文渊狮城度假区Wenyuan Lion City Resort",9:00-21:00,4,2.5,67.5,杭州
"岳王庙景区Yuewang Temple Scenic Area",07:30-17:30,4.6,1,25,杭州
"六和塔Liuhe Pagoda",07:00-17:30,4.7,2,10,杭州
"城隍阁景区Chenghuang Pavilion Scenic Area",8:00-20:00,4.5,3,30,杭州
"千岛湖中心湖区Thousand Island Lake, Central Lake Area",8:00-16:00,4.3,9.6,55,杭州
"巴松措Pagsom Co",9:00-18:30,4.6,3.5,60,林芝
"苯日景区Yani Wetland Scenic Area",9:00-17:00,4.7,72,449,林芝
"比日神山生态景区Birishenshan Ecological Scenic Area",09:00-18:00,4.4,4,5,林芝
"喇嘛岭寺",08:00-19:00,5,1.5,30,林芝
"措木及日Cuomujiri Scenic Area",9:00-17:00,3.7,3.5,125,林芝
"巨柏",9:00-17:00,3.5,1,5,林芝
"林芝自然博物馆",8:00-20:00,4,3,30,林芝
"台儿庄古城Taierzhuang Ancient City",8:30-22:00,4.6,108,0.7,枣庄
"台儿庄大战纪念馆Battle of Taierzhuang Memorial Hall",08:30-17:00,4.7,2,2,枣庄
"抱犊崮国家森林公园Baodugu National Forest Park",8:00-17:00,4.5,72,35,枣庄
"冠世榴园Guanshiliu Park",8:00-18:00,4.4,3.5,30,枣庄
"枣庄熊耳山Xiong'er Mountain",08:00-17:00,4.2,12,18,枣庄
"李宗仁史料馆Lizongren Historical Archive",8:00-18:00,4.5,1.5,10,枣庄
"枣庄市中兴文化博物馆Zaozhuangshi Zhongxing Culture Museum",9:00-17:00,5,2.5,0,枣庄
"鱼峰公园Yufeng Park",8:00-16:00,4.5,1,45,柳州
"丹洲景区Danzhou Scenic Area",08:00-20:00,4.1,108,32,柳州
"仙人山景区Xianren Mountain Sceneic Area",08:00-22:00,4.3,3.5,50,柳州
"石门仙湖景区Shimen Xianhu Scenic Area",9:00-17:00,4.3,2.5,65,柳州
"柳侯公园Park of Marquis Liu",6:30-22:00,4.6,1.5,9,柳州
"贝江",10:00-17:00,4.5,2,138,柳州
"都乐公园",8:00-18:00,4,1.25,5,柳州
"三门江国家森林公园Sanmenjiang National Forest Park",8:00-20:00,4.7,2.5,100,柳州
"雀儿山公园",6:30-22:30,4.3,2,9,柳州
"株洲白龙洞",8:00-17:00,3.6,1.5,65,株洲
"株洲电视塔Zhuzhou Radio And Television Tower",09:30-21:00,4.3,1,35,株洲
"工农兵政府旧址",8:30-17:30,3.3,2,30,株洲
"皮佳洞仙境乐园",8:00-18:00,4,1.5,80,株洲
"石峰动物园Shifeng Park Zoo",08:00-17:30,4.3,2.5,48.9,株洲
"宝宁寺Baoning Temple",8:00-17:30,4.3,1,40,株洲
"象鼻山景区Xiangshan Scenic Area",6:30-18:30,4.3,1.5,70,桂林
"相公山Xianggong Mountain",6:00-18:00,4.4,2.5,99,桂林
"银子岩Silver Cave",09:00-17:30,4.4,1.5,51,桂林
"兴坪古镇Xingping Ancient Town",8:30-17:30,4.1,72,120,桂林
"七星景区Seven Star Park",8:00-18:00,4.2,2.5,27.5,桂林
"日月双塔Sun and Moon Pagodas",08:00-22:00,4.5,1,53,桂林
"龙颈河漂流Longjing River Rafting",13:00-16:00,4.7,3,198,桂林
"冠岩Crown Rock",08:30-16:00,4.3,1.75,18.9,桂林
"芦笛岩Ludi Cave (Reed Flute Cave)",09:00-17:00,4.7,1,39.9,桂林
"月亮山Moon Hill",8:00-17:30,4.2,1.5,22,桂林
"漓江古东景区Minjiang River Gudong Scenic Area",8:30-17:00,4.6,3.5,54.8,桂林
"图腾古道Totem Ancient Trail",8:00-17:30,4,1.5,110,桂林
"尧山Yao Mountain",8:00-18:00,4.3,2.5,28,桂林
"桂林丹霞八角寨景区Ghuilin Danxia Bajiaozhai Scenic Area",8:00-17:00,4.5,2.5,128,桂林
"世外桃源Shiwai Taoyuan",08:00-17:30,4.5,1.5,54.5,桂林
"金水岩Gold Water Cave",8:30-18:00,3.7,2.5,84,桂林
"聚龙潭Julongtan",08:00-17:00,4.1,2.5,49,桂林
"木龙湖景区Guilin Mulong Lake",08:00-19:00,4.2,2,30.4,桂林
"山水园Shanshui Gardens",08:00-16:30,4.6,3.5,19.4,桂林
"刘三姐大观园Liu Sanjie Grand View Garden",8:30-17:30,3.9,3,56.9,桂林
"穿山景区Guilin Chuanshan Scenic Resort",09:00-16:30,4.4,1,4,桂林
"南溪山景区Nanxi Mountain Scenic Area",7:30-18:00,4.3,1.5,0.5,桂林
"虞山公园Yushan Park",7:30-18:00,4.4,2.5,12.9,桂林
"靖江王陵Mausoleums of Jingjiang Princes",09:00-16:30,4.2,1,28,桂林
"五排河漂流Wupaihe Drifting",8:30-9:00,4.6,2,236,桂林
"桂林荔浦荔江湾Guilin Lipu Lijiang Bay",8:00-17:30,4.3,2.5,60,桂林
"叶剑英纪念园Ye Jianying Memorial Park",9:00-17:00,4.5,2.5,0,梅州
"龙归寨瀑布Longguizhai Waterfall",7:30-19:00,4.2,2.5,48,梅州
"梅州客天下景区Meizhou Ketianxia Scenic Area",08:00-21:00,4.1,4.5,68,梅州
"桥溪古韵Yannan Feiqiao Stream Scenic Area",8:00-17:30,4.6,1,75,梅州
"梅州五指石Meizhou Five Finger Stone",8:00-17:00,4.4,5.5,144,梅州
"天龙顶国家山地公园Tianlongding Mountain Park",9:00-17:00,4.3,12,40,梧州
"梧州大爽河生态游乐景区Wuzhou Dashuang River Ecological Amusement Park",9:00-17:00,3.2,2,10,梧州
"石龙大峡谷Shilongda Canyon",8:00-17:00,5,12,50,梧州
"黑井古镇Heijing Town",08:30-17:30,4.1,2,15,楚雄州
"彝人古镇The Ancient Town of Yi",09:00-22:00,4.5,3,99,楚雄州
"元谋土林Yuanmou Earth and Forest Scenic Resort",8:00-18:00,4.6,12,70,楚雄州
"永仁方山Yongren Square Mountain",08:00-18:00,4.7,2,10,楚雄州
"石羊古镇Shiyang Ancient Town",8:00-17:00,4.4,2,25,楚雄州
"物茂土林（虎跳滩土林）The Wumao Rock Forest (Hutiaoxia [Tiger Leaping Beach] Rock Forest)",7:00-19:00,4.7,1.5,70,楚雄州
"大姚县核桃博物馆Dayaoxian Hetao Museum",9:00-17:00,4,0.75,0,楚雄州
"红石峡景区Red Rock Gorge",7:00-19:00,4.5,2.5,28,榆林
"碧麟湾景区Bilinwan Sceneic Area",9:00-19:00,2.2,12,99,榆林
"武威文庙Confucian Temple Changchun",8:30-18:00,4.4,1.5,1.1,武威
"天梯山石窟Tianti Mountain Grottos",8:30-17:30,4.2,1.05,30,武威
"武威海洋世界",10:00-21:00,5,2.5,89,武威
"冰沟河生态文化旅游景区Binggouhe Ecology Culture Tourism Sceneic Area",09:00-18:00,3.3,3,120,武威
"黄鹤楼Yellow Crane Tower",08:30-17:00,4.6,2,65,武汉
"木兰云雾山Mulan Yunwu Mountain",08:00-17:00,4.2,4,55,武汉
"武汉杜莎夫人蜡像馆Madame Tussauds Wax Museum Wuhan",10:00-20:30,4.6,2.5,145,武汉
"长春观Changchun Guan",8:00-16:30,4.4,1.5,7,武汉
"木兰清凉寨Mulan Qingliang Village",08:00-17:30,4.4,12,58,武汉
"锦里沟Jinligou",08:00-18:00,4.3,3,52,武汉
"花乡茶谷旅游景区Huaxiang Chagu Lvyou Dujia Sceneic Area",9:00-18:00,4.1,3.5,60,武汉
"九真山风景区Jiuzhen Mountain Scenic Area",8:30-17:00,4.3,2.5,50,武汉
"归元禅寺Guiyuan Temple",08:00-17:00,4.5,1.5,0.1,武汉
"武汉植物园Wuhan Botanical Garden",8:00-17:00,4.6,2.5,32.6,武汉
"古琴台Guqintai",8:00-17:00,4.3,1.5,5,武汉
"武汉海昌极地海洋公园Wuhan Haichang Polar Ocean World",09:00-17:00,4.7,4,245,武汉
"民众乐园",8:00-20:00,4.5,2,300,武汉
"楚天台Chutiantai Building",8:30-17:00,4.6,0.75,20,武汉
"东湖落雁景区Donghu Luoyan Scenic Area",08:00-17:00,4.7,1,65,武汉
"武汉动物园Wuhan Zoo",8:00-20:00,4.5,3,20,武汉
"阳光云漫1660彝山花谷Yi Mountain Flower Valley Scenic Area",9:00-17:30,3.1,12,130,毕节
"九洞天Jiudongtian Scenic Spot",8:00-17:30,4.2,3,50,毕节
"韭菜坪Chive Lawn",10:00-21:00,4.6,3,43,毕节
"平远古镇",08:30-21:30,4.2,12,10,毕节
"舜皇山国家森林公园Shunhuangshan National Forest Park",8:00-18:00,4.3,3.5,35,永州
"上甘棠博物馆Shanggantang Museum",9:00-17:00,4.3,1,18,永州
"浯溪碑林The Wuxi Forest of Steles",08:00-18:00,4.6,1.5,9,永州
"湖美田园景区Humei Bucolic Scenic Spot",08:00-18:00,3.8,12,29,永州
"青木川古镇Qingmuchuan Ancient Town",8:00-17:30,4.5,2.5,53.5,汉中
"红寺湖风景区Hongsihu Sceneic Area",8:30-17:30,3.7,2.5,7,汉中
"兴汉胜境Xinghan Scenic Spot",9:00-18:00,4.3,2.5,88.5,汉中
"汉中市博物馆Museum of Hanzhong",08:00-18:00,4.6,2.5,0,汉中
"勉县武侯祠博物馆Wuhou Temple",09:00-17:30,4.5,1.5,55,汉中
"张良庙Zhang Liang Temple",8:00-18:00,4.5,1.5,50,汉中
"黎坪森林公园Liping Forest Park",8:00-18:00,4.5,5,110,汉中
"汉中天台国家森林公园Tiantaishan Forest Park",8:00-16:00,4.5,4,27.5,汉中
"南澳岛宋井Nan'ao Island Song Well",08:00-18:00,3.9,0.75,15,汕头
"总兵府Zongbingfu",8:30-18:00,4,2.5,12,汕头
"金银岛Treasure Island",8:00-17:30,4,2.5,15,汕头
"红海湾旅游区Red Bay Tourist Area",8:00-19:00,3.9,108,8,汕尾
"玄武山（元山寺）Xuanwu Mountain (Yuanshan Temple)",8:30-17:00,4.6,1.5,8,汕尾
"上川岛飞沙滩旅游度假区Shangchuan Island Feisha Beach Resort",8:00-18:30,4.4,72,144,江门
"开平碉楼文化旅游区Kaiping Diaolou",8:30-17:30,4.4,108,100,江门
"立园Liyuan",8:30-17:30,4.3,2.5,100,江门
"赤坎南楼Chikan Building",8:00-17:00,4,1.5,10,江门
"马降龙碉楼群",8:30-17:30,4.4,3,60,江门
"锦江里碉楼群Jinjiangli Towers Group",9:00-17:00,4.1,1.5,7,江门
"黑沙滩",08:00-18:30,4.3,4,20,江门
"马降龙碉楼群Ma-Xianglong Towers Group",8:30-17:30,4.4,2.5,50,江门
"小鸟天堂Bird Paradise",8:00-17:30,4,3,45,江门
"恩平歇马举人村Enping Xiema Graduate Village",9:00-17:30,4.2,1,38,江门
"大雁山Dayan Mountain",7:00-22:00,4.4,1,8,江门
"清福陵Fuling Tomb",8:00-17:00,4.7,3,20,沈阳
"实胜寺Shisheng Temple",8:30-18:00,4.5,0.75,0,沈阳
"沈阳三农博览园Shenyang Sannong Expo Garden",8:00-17:00,4.7,4.5,50,沈阳
"沈阳华夏饮食文化博物馆Zhonghuayinshi Culture Museum",9:30-15:30,3,1.5,11,沈阳
"河间府署Ancient Government Office of Hejian",8:30-17:00,4.5,1.5,34,沧州
"纪晓岚文化园Ji Xiaolan Cultural Park",8:00-18:00,4.1,2,30,沧州
"南大港湿地Nandagang Wetland",8:30-17:30,4.2,1.5,39.99,沧州
"滨海恒大文化旅游城",9:00-20:00,5,12,99,沧州
"三门海Sanmenhai",9:00-17:00,4.4,2.5,98,河池
"百魔洞Baimo Cave",9:00-17:00,4.5,1.5,78,河池
"巴马百鸟岩Bama Birds Rock",8:30-17:30,4.5,0.75,75,河池
"巴马水晶宫Bama Crystal Palace",8:30-17:30,4.6,2.5,128,河池
"盘阳河景区Panyang River",8:30-17:30,4.3,1.5,75,河池
"河池小三峡Hechi Small Three Gorges",9:00-18:00,4.4,3.5,68,河池
"赐福湖Cifu Lake",9:00-18:00,4.4,1,58.1,河池
"刘三姐故居",7:00-18:30,5,2,120,河池
"凤山万寿谷",8:30-17:30,3,2.5,188,河池
"河源佗城Heyuan Tuocheng",8:30-17:30,4.2,3,30,河源
"万绿湖风景区Wanlu Lake Scenic Spot",09:00-14:00,4.6,2.95,31.8,河源
"苏家围Sujiawei",8:30-17:00,3.4,4,20,河源
"万绿谷Wanlugu Valley",9:00-17:30,4.2,5,30,河源
"野趣沟Yequ Valley",8:00-17:00,4.4,3.5,45,河源
"新丰江国家森林公园桂山风景区Guishan",8:00-17:00,4.2,72,46,河源
"黄龙岩畲族风情旅游区She Nationality Scenic Area in Huanglongyan",9:00-17:30,4.2,4,45,河源
"崇武古城风景区Chongwu Ancient City",7:30-18:30,4.2,108,14,泉州
"清净寺Qingjing Temple",7:30-17:30,4.4,1.5,269,泉州
"清源山Qingyuan Mountain",08:00-17:30,4.4,12,58,泉州
"关岳庙Guanyue Temple",05:30-19:00,4.5,1.5,269,泉州
"泉州博物馆Quanzhou Museum",09:00-17:30,4.5,1.5,6,泉州
"大开元寺Dakaiyuan Temple",6:00-11:00,4.7,1.5,2,泉州
"泉州府文庙Quanzhou Confucian Temple",8:00-17:30,4.6,1,7,泉州
"天后宫Tianhou Temple",07:00-18:00,4.5,1.5,269,泉州
"承天寺Chengtian Temple",08:00-11:00,4.7,1.5,5,泉州
"泉州石狮·海洋世界Shishi Ocean World",9:00-18:00,4,2.5,110,泉州
"石龙谷森林游乐园Stone Dragon Valley Forest Amusement Park",9:00-18:00,4.5,3.5,50,泉州
"牛姆林生态旅游区Niumulin Nature Reserve",8:00-17:30,4,12,45,泉州
"清水岩Qingshui Rock",06:30-18:00,4.6,3.5,0.8,泉州
"惠安女民俗风情园Hui'an Female Folk Customs Garden",8:00-19:00,4.1,3,30,泉州
"石狮市博物馆Shishishi Museum",9:00-12:00,5,2.5,0,泉州
"泉州之眼摩天轮Quanzhou Eye Ferris Wheel",10:00-22:30,4.5,0.75,49.3,泉州
"安平桥Anping Bridge",9:00-18:00,4.6,0.25,248,泉州
"岱仙瀑布Daixian Waterfall",8:00-16:30,4.6,1.5,270,泉州
"灵应风景旅游区Nan'an Lingying Scenic Tourism Region",7:30-18:00,4.4,3.5,600,泉州
"水浒影视城Water Margin Movie and Television City",09:00-17:00,4.1,2.5,9,泰安
"腊山国家森林公园Lashan National Forest Park",9:00-18:00,4.1,2.5,7,泰安
"王母池Queen Mother Pond",8:00-16:30,4.4,1.5,20,泰安
"五松亭",4:00-19:00,5,2.5,125,泰安
"新甫山景区Xintaixinfu Mountain",08:00-17:30,4.6,12,68,泰安
"泰山北麓",8:00-17:00,4.5,1.5,20,泰安
"药乡国家森林公园Shandong YaoXiang Forest Park",9:00-17:00,4.4,5,40,泰安
"虎山公园Hu Mountain Park",8:00-17:00,4.6,2.5,0,泰安
"张坝桂圆林Zhangba Guiyuan Forest",9:00-20:00,4.6,1,2,泸州
"方山Fang Mountain",8:00-17:00,4.3,3.5,6,泸州
"黄荆原始森林Huangjing Prehistoric Forest",7:00-18:00,4.4,3,58,泸州
"倒流河旅游区Daoliu River Tourist Area",8:00-18:00,4.5,3,36,泸州
"泸州老窖景区",9:00-17:00,4.8,1.5,35,泸州
"纳溪区护国战争博物馆Naxiqu Huguo Zhanzheng Museum",9:00-17:00,4.5,2.5,0,泸州
"西南医科大学附属中医医院中医药文化博物馆Xinan Yike Daxue Fushu Zhongyi Yiyuan Zhongyiyao Culture Museum",8:00-12:00,4.5,1.5,0,泸州
"老君山景区Luoyang Laojun Mountain",8:00-18:00,4.6,108,96,洛阳
"洛邑古城Luoyi Ancient City",9:00-22:30,4.3,12,1,洛阳
"丽景门景区Lijing Gate",8:00-18:00,4.2,1.5,45,洛阳
"中国国花园China National Flower Garden",07:00-19:00,4.6,2.5,6,洛阳
"天子驾六博物馆Tianzi Jialiu Museum",9:00-18:00,4.4,1,22.9,洛阳
"王城公园Wangcheng Park",7:00-19:00,4.5,2,30,洛阳
"神州牡丹园Shenzhou Peony Garden",08:00-18:00,4.3,1,29.9,洛阳
"关林庙Guanlin Temple",9:00-18:00,4.4,1.5,39,洛阳
"国际牡丹园International Peony Garden",07:30-21:30,4.4,1.5,40,洛阳
"白园Baiyuan Park",8:00-17:30,4.4,0.75,258,洛阳
"鸡冠洞Cockscomb Cave",08:30-17:00,4.4,2.5,75,洛阳
"龙峪湾Longyu Bay",07:00-19:00,4.1,12,50,洛阳
"木札岭旅游区Muzha Ridge Tourist Area",7:00-17:00,4.6,12,9,洛阳
"卢舍那大佛Lushena Buddha",8:00-18:30,4.8,0.75,158,洛阳
"洛阳民俗博物馆Luoyang Minsu Museum",08:30-17:30,4.3,1.5,0,洛阳
"龙潭大峡谷Longtan Grand Canyon",07:00-17:30,4.6,12,75,洛阳
"洛阳花果山景区Huaguoshan National Forest Park",7:30-18:00,4,3.5,39.9,洛阳
"汉光武帝陵Guangwu Emperor Original Tomb of Han Dynasty",8:00-19:30,4,2.5,27,洛阳
"看经寺罗汉",08:00-17:00,4,2,120,洛阳
"神灵寨风景区Shenlingzhai Scenic Area",8:30-17:30,4.5,3.5,49,洛阳
"养子沟Yangzi Valley",8:00-17:30,4.4,4,38,洛阳
"青要山Qingyao Mountain",6:00-20:00,4.3,3.5,32,洛阳
"龙马负图寺Longma Futu Temple",7:00-18:30,4.3,2,30,洛阳
"通天峡Tongtian Gorge",8:00-17:00,3.4,2.5,96,洛阳
"黛眉山景区Daimei Mountain Scenic Area",8:00-15:00,4.1,4.5,1,洛阳
"王铎故居Hometown of Wangduo",7:00-18:30,3.9,1,15,洛阳
"金龙谷Jinlong Valley",9:00-18:00,3.4,1,30,洛阳
"趵突泉景区Baotu Spring Park",07:00-19:00,4.6,2.5,20,济南
"大明湖景区Daming Lake Scenic Area",05:00-22:00,4.6,4.5,75,济南
"济南动物园Jinan Zoo",08:30-17:00,4.7,4,23.4,济南
"五龙潭公园Five Dragon Pool",07:00-22:00,4.6,1.5,9,济南
"红叶谷Red Leaves Canyon",8:00-17:00,4.4,72,29.5,济南
"灵岩大佛山景区Lingyan Dafoshan Scenic Spot",8:30-17:00,4.4,12,49.9,济南
"超然楼Chaoran Pavilion",8:30-18:00,4.5,0.75,188,济南
"灵岩寺Lingyan Temple",8:00-17:00,4.7,2.5,65.5,济南
"九如山休闲旅游度假风景区Jiuru Mountain Waterfall Scenic Area",08:00-17:00,4.6,5,89,济南
"朱家峪Zhu Jiayu",8:00-17:30,4.4,3.5,37.9,济南
"济南植物园Jinan Botanical Garden",8:00-17:00,4.5,12,27.9,济南
"水帘峡风景区Shuilianxia Scenic Area",8:00-18:00,3.9,4.5,29,济南
"柳絮泉Liuxu Spring",7:00-19:00,4.5,0.4,10,济南
"金线泉Jinxian Spring",7:00-22:30,4.5,1,10,济南
"四门塔Simen Tower",7:30-17:30,4.6,1.5,27,济南
"千佛山风景名胜区Qianfo Mountain Scenic Resorts",6:30-18:30,4.2,12,0,济南
"花YOUNG PARKZiyuan Herb Garden",9:00-17:00,4.2,2.5,39.9,济南
"百脉泉公园Baimai Spring Park",07:30-18:00,4.6,3.5,50,济南
"莲台山Liantai Mountain",8:00-18:00,4.4,2,20,济南
"房干生态景区Fanggan Ecological Scenic Zone",8:00-17:00,4.4,4.5,95,济南
"济南国际园博园Ji'nan International Horticultural Expo Park",9:00-21:00,4.4,4,5,济南
"尼山圣境景区Nishan Sacredland",09:30-17:00,4.5,12,79.9,济宁
"颜庙Temple of Yan Hui",8:00-17:00,4.5,1,50,济宁
"孔庙Temple of Confucius",7:40-17:00,4.6,2.5,1.5,济宁
"微山湖旅游区Weishan Lake",09:00-17:00,3.9,108,6,济宁
"石门山国家森林公园Shimen Mountain",8:00-19:00,4.5,12,8,济宁
"孔林Cemetery of Confucius",08:30-17:00,4.4,1.5,300,济宁
"水泊梁山Shuibo Liangshan Scenic Area",07:00-19:00,4.3,4.5,1.4,济宁
"微山岛景区Weishan Island Scenic Area",8:00-18:00,3.8,12,6,济宁
"太白湖景区North Lake",7:30-18:00,4.4,3.5,0,济宁
"少昊陵Mausoleum of Shaohao",9:00-17:00,4.2,1.5,50,济宁
"金碑亭jin bei ting",9:00-17:00,4.5,1.5,0,济宁
"孟母林meng mu lin",8:30-17:00,3.5,1.5,7,济宁
"峄山Yi Mountain",8:00-17:30,4.5,5,27,济宁
"周公庙Zhougong Temple",8:30-17:00,4.8,1.5,1,济宁
"济源黄河小浪底风景区Yellow River Xiaolangdi Scenic Area in Jiyuan",8:00-18:30,4.4,3.5,60,济源
"五龙口风景区Wulongkou Scenic Area",08:00-18:00,4.2,4.5,35,济源
"济渎庙Jidu Temple",08:00-17:30,4.6,2.5,7,济源
"王屋山-黛眉山地质博物馆",8:00-18:00,3,2.5,50,济源
"洛阳黄河小浪底水利枢纽风景区Luoyang Yellow River Xiaolangdi Scenic Area",8:00-18:00,4.3,1.5,20,济源
"小沟背风景区Xiaogoubei Scenic District",8:00-18:00,4.3,2.5,40,济源
"黄河三峡Three Gorges of the Yellow River",8:00-18:00,4.3,2.5,180,济源
"观澜湖华谊冯小刚电影公社Mission Hills H?Brothers Feng Xiaogang Film Commune",09:00-22:00,4.3,4.5,1942,海口
"假日海滩Holiday beach",9:00-21:00,4.5,4,6,海口
"五公祠Five Officials Temple",8:00-18:00,4.4,2,19,海口
"东寨港红树林Dongzhaigang mangroves",9:00-17:30,4.2,2.5,55,海口
"雷琼海口火山群世界地质公园Leiqiong UNESCO Global Geopark",8:00-18:00,4.6,2.5,45,海口
"金牛岭公园Jinniuling Park",5:00-23:00,4.5,2.5,5,海口
"海口市博物馆Haikou Museum",8:00-17:30,4.2,1.5,25,海口
"金牛岭",6:00-20:00,4,2.5,0,海口
"秀英炮台",8:00-17:30,3,1,2013,海口
"鲁山国家森林公园Lushan National Forest Park",8:00-17:00,4.6,4,9,淄博
"潭溪山Tanxi Mountain Scenic Area",08:00-17:00,4.4,12,99,淄博
"博山开元溶洞Kaiyuan Karst Cave in Boshan",8:00-17:00,4.4,2.5,139,淄博
"山东文旅·红叶柿岩旅游区Lushang - Hongye Shiye Scenic Spot",08:30-18:00,4.2,12,28,淄博
"沂源九天洞Jiutian Cave in Yiyuan County",8:30-17:00,4.5,2,50,淄博
"樵岭前风景区Qiaolingqian Scenic Area",8:00-16:00,4.2,3.5,78,淄博
"沂源溶洞Yiyuan Karst Cave",08:30-17:00,4.6,2,30,淄博
"马鞍山Ma'anshan",8:00-17:30,4.3,2.5,53,淄博
"淄博聊斋城Liao Zhai City in Zibo",08:00-17:00,4.3,1.5,40,淄博
"王渔洋纪念馆-忠勤祠Wang Yuyang Memorial Hall -Zhongqin Shrine",8:30-11:30,4.2,1,40,淄博
"管仲纪念馆guanzhong Memorial Hall",8:00-17:00,4.4,1,10,淄博
"淮海战役双堆集烈士陵园Huaihai Battle Shuangduiji Martyrs' Cemetery",8:00-17:00,4.6,12,0,淮北
"刘开渠纪念馆Liu Kaiqu Memorial Hall",08:30-11:30,4.7,2,5,淮北
"八公山风景区（国家地质公园）Bagong Mountain National Forest Park",8:00-18:00,4.3,4.5,40,淮南
"焦岗湖国家湿地公园Jiaogang Lake National Wetland Park",08:30-18:00,4.3,1.5,6,淮南
"茅仙洞Maoxian Cave",08:30-17:00,4.1,2,15,淮南
"铁山寺国家森林公园Tieshan Temple National Forest Park",8:00-18:00,4.4,4,48,淮安
"韩信故里Hanxin Guli Relic Site",8:00-17:30,4,1.5,60,淮安
"淮安府署Huai'an Ching Governor",8:30-17:30,4.6,2,43.8,淮安
"楚秀园Chuxiu Park",5:00-17:00,4.5,1,5,淮安
"清晏园Qing Yan Park",6:00-17:00,4.4,1.5,8,淮安
"苏皖边区政府旧址Huai'an Suwan Border Area Government Former Site Memorial Hall",09:00-11:30,4.4,1,8,淮安
"尧想国文化旅游区Yao Xiangguo Cultural Tourist Area",09:00-17:00,4.2,12,40,淮安
"甘坑古镇Gankeng Hakka Town",10:00-18:00,4.3,12,26,深圳
"梧桐山国家森林公园Wutong Mountain",06:00-19:00,4.6,12,7,深圳
"仙湖植物园Fairylake Botanical Garden",8:00-18:00,4.4,4,0.9,深圳
"光明农场大观园Guangming Tour Farm",09:30-17:30,3.6,36,73,深圳
"东冲Dongchong",09:00-19:00,4.4,2,68,深圳
"大梅沙海滨公园Dameisha Waterfront Park",7:00-22:00,4.6,3,4,深圳
"深圳野生动物园Shenzhen Safari Park",09:30-18:00,4.4,12,197,深圳
"地王大厦",8:30-23:30,4.1,1.5,80,深圳
